GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;Eccentricity;Proximity
1.599431;1;None;-12.97604;-1.55973;32.82365;-20;2.69857;-9.008539;0;35.8528
0.02649844;1;None;-2.888283;-0.9529696;22.22698;-20;2.693576;-8.743603;0;22.87644
0.0551846;1;None;-2.367563;-1.80631;27.3352;-20;2.683177;-8.191854;0;27.94071
0.03226733;1;None;-3.621139;-3.669998;34.76196;-20;2.677095;-7.869238;0;35.62699
0.04103172;1;None;-4.222023;-3.381088;26.55958;-20;2.669363;-7.458994;0;27.63415
0.1202438;1;Size(Max);-4.027447;-6.073047;34.38915;-20;2.646701;-6.256771;0;35.70496
0.204681;1;Size(Max);-6.272099;-7.506719;33.59578;-20;2.608128;-4.210326;0;35.60085
0.1070368;1;Size(Max);-9.199946;-6.782939;32.90525;-20;2.587955;-3.140147;0;35.4518
0.05889654;1;None;-11.39447;-5.730092;32.24383;-20;2.576856;-2.551287;0;35.28348
0.07536197;1;None;-8.334547;-3.015836;18.40432;-20;2.562653;-1.797802;0;21.05198
0.1142461;1;None;-15.3737;-7.207097;30.54276;-20;2.541122;-0.655544;0;35.6232
0.05694818;1;None;-16.60586;-9.177608;29.73699;-20;2.530389;-0.0861622;0;36.0079
0.2375116;1;Size(Mid);-7.236122;-4.792724;12.76465;-20;2.485628;2.288531;0;16.21913
0.09915161;1;Size(Mid);-7.132948;-5.234713;14.28038;-20;2.466942;3.279873;0;17.56652
0.1635454;1;Size(Mid);-7.416626;-4.88933;13.24025;-20;2.43612;4.915036;0;16.71614
0.0690012;1;None;-7.296381;-3.764704;13.30846;-20;2.423116;5.604925;0;16.35383
0.04281068;1;None;-7.257079;-3.003956;14.51143;-20;2.415048;6.032958;0;17.16111
0.08600545;1;None;-14.9178;-2.250677;30.29321;-20;2.398839;6.892861;0;34.37994
3.862224;2;Size(Low);22.17887;-4.900321;-37.11428;-0.3326373;2.986036;8.851493;0;43.18435
0.04590178;2;None;18.63126;-4.648921;-33.75593;-0.3273456;2.986258;8.392507;0;38.52335
0.03764105;2;None;15.62692;-4.546339;-32.269;-0.3230062;2.98644;8.016122;0;35.8484
0.08517456;2;None;16.07688;-5.376375;-37.84976;-0.3131868;2.986853;7.16443;0;41.20318
0.05320692;2;None;14.02434;-7.250843;-37.63766;-0.3070528;2.98711;6.632396;0;40.60972
0.1135964;2;None;12.46686;-8.388762;-37.19015;-0.2939568;2.98766;5.49651;0;39.95626
0.1584229;2;Transparency(Min);11.2925;-8.443483;-36.57103;-0.2756931;2.988428;3.912384;0;39.06121
0.1514797;2;Transparency(Min);10.91964;-7.953446;-36.11264;-0.2582297;2.989161;2.397687;0;38.41517
0.2264233;2;Transparency(Min);8.569092;-4.633441;-22.81621;-0.2321265;2.990257;0.1336099;0;24.63209
0.03622723;2;None;13.58163;-5.453084;-35.22035;-0.22795;2.990432;-0.228639;0;37.89939
0.04837227;2;None;15.40366;-3.285801;-34.83933;-0.2223734;2.990666;-0.7123328;0;37.91392
0.06331158;2;None;16.39408;-1.232781;-34.5087;-0.2150744;2.990972;-1.345408;0;37.83431
0.03825474;2;None;16.69433;0.9133089;-34.22324;-0.2106643;2.991158;-1.727925;0;37.62987
0.08345413;2;None;11.35891;2.032328;-21.85856;-0.2010432;2.991562;-2.562416;0;24.19128
0.1730537;2;None;11.43736;3.67668;-21.03202;-0.1810928;2.992399;-4.292831;0;23.60974
0.1628304;2;Transparency(Max);10.54864;3.251072;-19.5515;-0.1623207;2.993187;-5.921034;0;21.84793
0.1119442;2;Transparency(Max);4.940482;1.487195;-25.88906;-0.1494152;2.993729;-7.040401;0;25.971
0.6072865;3;Blue;-9.913992;-3.132202;22.48257;19.74363;2.999998;-9.678116;0;25.34421
0.02215004;3;None;-15.45045;-6.702694;47.07793;19.74554;2.999998;-9.456621;0;50.53934
0.0319252;3;None;-7.280139;-5.208177;34.50254;19.7483;2.999998;-9.137383;0;36.16446
0.02013302;3;None;-9.823738;-9.307707;48.02824;19.75004;2.999998;-8.936062;0;50.4518
0.0424614;3;None;-10.81711;-8.124693;48.05936;19.7537;2.999998;-8.511462;0;50.4668
0.1275425;3;None;-11.48185;-6.303679;36.5904;19.76472;2.999998;-7.236091;0;39.42987
0.09747219;3;Red;-11.72907;-5.633475;29.38163;19.77314;2.999998;-6.261403;0;32.73533
0.404376;3;Red;-19.09353;-10.2423;45.04723;19.80808;2.999998;-2.217794;0;50.61264
0.06871891;3;None;-17.0681;-10.15459;45.82642;19.81402;2.999998;-1.530628;0;50.55881
0.04349518;3;None;-14.33785;-8.922653;46.88683;19.81778;2.999998;-1.095693;0;50.41047
0.05769634;3;None;-12.25022;-6.802882;47.66975;19.82276;2.999998;-0.5187495;0;50.20861
0.07884979;3;White;-5.419272;-3.837621;29.74272;19.82957;2.999998;0.2697161;0;30.97182
0.4986391;3;White;-8.309332;-12.30325;46.2408;19.87265;2.999998;5.255926;0;49.16318
0.1495352;3;Black;-0.9848894;-8.36257;21.11963;19.88556;2.999998;6.751223;0;23.38583
