GazeTime;Region;Target;PosX;PosY
0;0;None;0;0;
0.7763371;0;None;0.6086976;0.03038485;
0.03079641;0;None;0.592988;0.09393694;
0.02282619;0;None;0.5771013;0.1524894;
0.02621686;0;None;0.5534455;0.2089446;
0.02611202;0;None;0.530475;0.2699252;
0.06052929;0;None;0.4719282;0.3293713;
0.04853553;0;None;0.4020948;0.37233;
0.05569202;0;None;0.3462853;0.3734766;
0.06156909;0;None;0.3010758;0.3499356;
0.1076863;0;Size(Max);0.241873;0.3571917;
0.09098136;1;Size(Max);0.1837191;0.3843714;
0.2186383;1;Size(Max);0.1691083;0.4468106;
0.0349437;1;Size(Max);0.2159165;0.5080879;
0.1157228;1;Size(Max);0.2635225;0.4849443;
0.09956181;1;Size(Max);0.3176572;0.4958079;
0.05121005;1;None;0.3786553;0.4947942;
0.08328962;1;None;0.4394436;0.5040223;
0.08097982;1;Size(Mid);0.4917805;0.4984623;
0.140829;1;Size(Mid);0.5408771;0.5183009;
0.364989;1;Size(Mid);0.5216634;0.4712122;
0.4794469;1;Size(Mid);0.5168667;0.4142782;
0.5525792;1;Size(Low);0;0;
3.450879;1;Size(Low);0;0;
0.03219318;1;None;0.09711456;0.2364577;
0.03137922;1;None;0.2030944;0.2516334;
0.03373146;1;None;0.3009098;0.270467;
0.01773024;1;None;0.3909058;0.300512;
0.02553701;1;None;0.3181419;0.5879166;
0.02670765;1;None;0.3679893;0.6119117;
0.2848563;2;None;0.3519678;0.6603965;
0.0506053;2;None;0.2601343;0.6384177;
0.07328033;2;Transparency(Max);0.2241098;0.6012194;
0.1521153;2;Transparency(Max);0.1642359;0.5919216;
0.3075042;2;Transparency(Max);0.2188767;0.5952514;
0.1057749;2;Transparency(Max);0.2828803;0.589192;
0.05485916;2;None;0.3387245;0.5788586;
0.07874966;2;None;0.4002678;0.5620539;
0.08827209;2;Transparency(Low);0.4512353;0.550846;
0.2319384;2;Transparency(Low);0.4884531;0.5162651;
0.2132645;2;None;0.5253481;0.4733935;
0.08632946;2;Transparency(Min);0.5760104;0.4201357;
0.08009434;2;None;0.6162874;0.3850248;
0.3346071;2;None;0.5698425;0.4046061;
0.1962767;2;None;0.5178452;0.4180105;
0.03178215;2;None;0;0;
3.229368;2;Transparency(Min);0.9889268;0.5132506;
0.03064251;2;None;0.905457;0.5146611;
0.03082561;2;None;0.8221445;0.5099401;
0.03074741;2;None;0.744076;0.5040225;
0.02078819;2;None;0.666572;0.4954252;
0.02261353;2;None;0.615873;0.4948418;
0.03011131;2;None;0.5613373;0.4902566;
0.0295496;2;None;0.4934686;0.4803334;
0.02955246;2;White;0.4296871;0.4672397;
0.03312016;2;None;0.3683549;0.4485116;
0.01669502;2;None;0.3126437;0.4274977;
0.05608559;2;None;0.2757702;0.3705369;
0.05921555;2;None;0.2789665;0.3164106;
0.2489958;3;None;0.3351763;0.299697;
0.1077099;3;None;0.2719486;0.2793774;
0.3569336;3;Red;0.2204611;0.2709298;
0.3371334;3;Red;0.2559933;0.3088453;
0.09148216;3;None;0.3077196;0.314959;
0.0741415;3;None;0.36852;0.3188946;
0.1175385;3;None;0.4293244;0.3209936;
0.1075363;3;None;0.4840856;0.3195496;
0.50424;3;Black;0.514296;0.362496;
0.2766399;3;Black;0.4954871;0.4113841;
0.08635139;3;None;0;0;
