GazeTime;Region;Target;PosX;PosY;PosZ;PlayerPosX;PlayerPosY;PlayerPosZ;LightIntensity;Velocity
0.04158306;1;Size(Max);4.366141;-4.891215;31.7485;-20;2.755691;-12.0388;0;0;
0.04166222;1;Size(Max);2.407769;-5.021098;31.18485;-20;2.747839;-11.62225;0;0;
0.02825928;1;None;0.8587062;-5.156942;30.8197;-20;2.742513;-11.33971;0;0;
0.02784443;1;Size(Mid);-0.6230947;-5.398182;30.43068;-20;2.737265;-11.06131;0;0;
0.04141617;1;Size(Mid);-2.409863;-5.75717;29.8907;-20;2.72946;-10.64722;0;0;
0.07012081;1;None;-3.757534;-6.16227;29.14822;-20;2.716245;-9.946142;0;0;
0.1811485;1;Size(Mid);-2.316507;-5.977155;27.51542;-20;2.682106;-8.134989;0;0;
0.08363533;1;Size(Mid);-1.081359;-5.312727;26.8804;-20;2.666344;-7.298787;0;0;
0.05580425;1;Size(Mid);0.03046071;-4.583064;26.51896;-20;2.655827;-6.740844;0;0;
0.04162121;1;None;0.9925408;-3.71784;26.29884;-20;2.647983;-6.324708;0;0;
0.04188919;1;None;1.958457;-2.918672;26.12565;-20;2.640089;-5.905891;0;0;
0.05571651;1;None;3.065894;-2.106487;25.85551;-20;2.629588;-5.348825;0;0;
0.09753799;1;Size(Max);4.377659;-1.284047;25.30834;-20;2.611207;-4.37361;0;0;
0.05535126;1;Size(Max);4.707094;-1.078229;24.93541;-20;2.600775;-3.820199;0;0;
0.3345547;1;Size(Max);3.86242;-1.250783;22.48731;-20;2.537724;-0.4752457;0;0;
0.1393061;1;Size(Low);2.652205;-1.220403;21.44916;-20;2.511471;0.9175647;0;0;
0.04180622;1;Size(Low);2.412505;-1.254706;21.15377;-20;2.503592;1.335553;0;0;
0.139514;1;Size(Low);0.8354468;-2.661268;19.87295;-20;2.477299;2.730449;0;0;
0.05565357;1;Size(Mid);-0.5450599;-4.726705;18.77929;-20;2.466811;3.286885;0;0;
0.0417223;1;Size(Mid);-1.743895;-6.447832;17.79191;-20;2.458948;3.70403;0;0;
0.0418539;1;Size(Mid);-5.874498;-15.6302;31.64748;-20;2.45106;4.122499;0;0;
0.04169273;1;None;-4.632629;-10.22492;15.85943;-20;2.443203;4.539349;0;0;
0.05581474;1;None;-5.127198;-9.671515;11.4075;-20;2.432684;5.0974;0;0;
0.06938934;1;None;-14.83498;-26.31994;23.39811;-20;2.419607;5.791173;0;0;
0.1256828;1;None;-4.320251;-8.114124;5.886394;-20;2.395921;7.047777;0;0;
0.04177094;1;None;-14.82345;-28.45013;21.46294;-20;2.388049;7.46541;0;0;
0.0976181;2;Transparency(Max);0.006102299;-8.062369;-33.18418;-0.312463;2.986874;11.90985;0;0;
0.06916046;2;Transparency(Max);2.142827;-10.01816;-39.12643;-0.3056912;2.987159;11.21827;0;0;
0.0418396;2;None;3.251373;-8.765165;-32.199;-0.3015944;2.987331;10.7999;0;0;
0.05567741;2;None;4.857916;-8.667192;-31.81097;-0.2961428;2.98756;10.24316;0;0;
0.16745;2;None;2.737026;-8.713719;-29.54649;-0.2797468;2.988249;8.568733;0;0;
0.04164314;2;None;0.8745372;-11.08112;-37.2682;-0.2756693;2.988421;8.152327;0;0;
0.04179192;2;Transparency(Mid);-1.485732;-8.234555;-27.85409;-0.2715773;2.988593;7.734439;0;0;
0.02786636;2;None;-2.943639;-7.858036;-27.34636;-0.2688487;2.988707;7.455785;0;0;
0.0279808;2;None;-4.332948;-7.430876;-26.88685;-0.266109;2.988822;7.175994;0;0;
0.04172134;2;None;-8.076257;-8.868018;-34.60883;-0.2620237;2.988994;6.758785;0;0;
0.04173851;2;None;-7.166485;-5.887525;-24.75009;-0.2579369;2.989166;6.341429;0;0;
0.08354759;2;Transparency(Min);-6.944909;-4.461821;-19.45584;-0.2497562;2.98951;5.505987;0;0;
0.1668186;2;Transparency(Min);-6.942406;-3.608945;-14.76461;-0.2334221;2.990196;3.837881;0;0;
0.1392479;2;Transparency(Min);-6.585229;-3.520128;-14.67429;-0.2197875;2.990769;2.445472;0;0;
0.04177475;2;Transparency(Min);-11.83843;-7.815239;-31.73714;-0.2156971;2.990941;2.027742;0;0;
0.04177284;2;None;-6.074277;-5.415171;-20.34491;-0.2116069;2.991113;1.610036;0;0;
0.05586052;2;None;-4.912;-6.366682;-21.50501;-0.2061373;2.991342;1.051453;0;0;
0.2924709;2;None;-7.731411;-10.80723;-32.20888;-0.1774999;2.992546;-1.873103;0;0;
0.1253834;2;Transparency(Low);-5.147986;-5.60419;-18.16745;-0.1652228;2.993062;-3.126891;0;0;
0.2642403;2;Transparency(Low);-4.220202;-6.557506;-15.9824;-0.1393496;2.994149;-5.769149;0;0;
0.1530704;3;White;-11.99636;-12.47458;46.89326;19.71628;2.999997;-10.95;0;0;
0.06959724;3;None;-8.838403;-11.45068;38.98048;19.72266;2.999997;-10.25406;0;0;
0.05557632;3;None;-8.802847;-12.94327;37.87483;19.72775;2.999997;-9.698321;0;0;
0.05574608;3;None;-9.403485;-14.30061;36.79224;19.73286;2.999997;-9.140882;0;0;
0.3480968;3;Red;-15.04064;-19.06792;43.70208;19.76478;2.999997;-5.660063;0;0;
0.2784462;3;Red;-15.13387;-21.28344;42.62987;19.79031;2.999997;-2.875718;0;0;
0.04175377;3;None;-8.15522;-14.29093;28.37008;19.79414;2.999997;-2.458201;0;0;
0.04149437;3;None;-9.134754;-21.98105;43.79155;19.79795;2.999997;-2.043277;0;0;
0.04170418;3;None;-3.677117;-14.11067;28.18859;19.80177;2.999997;-1.626259;0;0;
0.05605888;3;None;-0.9064414;-13.98004;27.2904;19.80691;2.999997;-1.065696;0;0;
0.06973076;3;Black;2.375849;-22.88569;43.2211;19.8133;2.999997;-0.368417;0;0;
0.2506809;3;Black;3.00146;-25.36136;41.3361;19.83628;2.999997;2.138292;0;0;
0.1115513;3;Black;2.875178;-25.4233;41.09642;19.84651;2.999997;3.253761;0;0;
0.06940079;3;Black;0.6066916;-13.00185;22.14791;19.85287;2.999997;3.947732;0;0;
0.06967926;3;None;-1.948606;-23.79203;42.29871;19.85926;2.999997;4.644506;0;0;
